source,target,weight
CSX,BFJ,17.180722891566266
CSX,CGQ,36.83539603960397
CSX,CGD,52.0
CSX,DNH,12.695652173913045
CSX,DQA,21.625
CSX,DSN,48.63013698630137
CSX,HAK,25.328924281279527
CSX,HLD,11.125
CSX,HNY,82.0
CSX,HUZ,34.56410256410256
CSX,HZH,21.047832585949177
CSX,INC,21.061011904761905
CSX,JGS,19.5
CSX,JNG,21.44360902255639
CSX,KOW,150.0
CSX,LXA,60.52
CSX,MIG,31.8
CSX,PEK,43.02793345787741
CSX,SHE,25.131479140328697
CSX,SWA,17.88717666483214
CSX,TEN,15.653419593345657
CSX,TLQ,6.129032258064516
CSX,XMN,28.26010733452594
CSX,YIH,40.5
CSX,YTY,28.60839160839161
CSX,ZHA,32.5126582278481
CSX,ZYI,21.70935960591133
CSX,DLC,42.516862170087975
CSX,DYG,22.728840125391848
CSX,FOC,28.88354847569349
CSX,HKT,213.5
CSX,HRB,25.745011086474506
CSX,ICN,129.0
CSX,JJN,31.925747863247864
CSX,KHN,172.0
CSX,LHW,23.373142250530787
CSX,LJG,29.43117744610282
CSX,LYI,22.62121212121212
CSX,NAY,0.0
CSX,NGB,31.221774193548388
CSX,NZH,1.9
CSX,SHA,41.786668787782375
CSX,SJW,33.453271028037385
CSX,SYM,13.0
CSX,SZX,51.894562334217504
CSX,TAO,31.472428174235404
CSX,TNA,23.369543147208123
CSX,TSN,33.22715352027436
CSX,TYN,27.22335942203492
CSX,XIY,24.256681292381334
CSX,XNN,17.729885057471265
NAY,BFJ,41.15339233038348
NAY,DAT,34.60719874804382
NAY,ENY,44.57559681697613
NAY,HLD,22.51489361702128
NAY,HLH,36.45754716981132
NAY,HRB,43.09803921568628
NAY,HSN,28.548895899053623
NAY,IQN,33.42008486562942
NAY,JGN,8.0
NAY,JUH,49.1748031496063
NAY,LYI,24.381712626995647
NAY,BAV,31.045251396648045
NAY,DLC,38.46102819237148
NAY,DSN,31.400072020165645
NAY,FOC,9.318181818181818
NAY,FUO,33.83507853403141
NAY,HAK,53.70948012232416
NAY,HNY,45.86404833836858
NAY,HUZ,34.14497528830313
NAY,JUZ,35.3175572519084
NAY,NGB,31.1015625
NAY,NZH,14.89010989010989
NAY,RLK,28.495626822157437
NAY,SJW,150.6315789473684
NAY,TXN,39.460093896713616
NAY,XMN,35.50381679389313
NAY,RIZ,28.728813559322035
NAY,SHA,45.82602545968883
NAY,SZX,49.98002853067048
NAY,TEN,49.5
NAY,TNA,98.0
NAY,TSN,108.75
NAY,TYN,81.22222222222223
NAY,XIY,33.5
NAY,XNN,227.66666666666663
NAY,YIE,30.14437367303609
NGB,AQG,32.8375
NGB,CGQ,32.69851951547779
